STATION,STATION_NAME,DATE,TAVG
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130621,68
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130622,68
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130623,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130624,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130625,80
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130626,80
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130627,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130628,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130629,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130630,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130701,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130702,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130703,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130704,77
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130705,79
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130706,82
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130707,83
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130708,81
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130709,79
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130710,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130711,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130712,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130713,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130714,80
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130715,85
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130716,87
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130717,87
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130718,86
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130719,86
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130720,86
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130721,82
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130722,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130723,79
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130724,81
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130725,68
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130726,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130727,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130728,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130729,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130730,77
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130731,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130801,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130802,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130803,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130804,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130805,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130806,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130807,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130808,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130809,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130810,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130811,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130812,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130813,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130814,70
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130815,69
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130816,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130817,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130818,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130819,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130820,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130821,77
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130822,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130823,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130824,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130825,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130826,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130827,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130828,77
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130829,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130830,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130831,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130901,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130902,76
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130903,77
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130904,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130905,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130906,65
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130907,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130908,74
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130909,65
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130910,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130911,78
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130912,75
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130913,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130914,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130915,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130916,66
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130917,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130918,60
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130919,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130920,66
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130921,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130922,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130923,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130924,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130925,63
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130926,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130927,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130928,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130929,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130930,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131001,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131002,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131003,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131004,70
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131005,68
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131006,66
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131007,70
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131008,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131009,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131010,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131011,64
